temp,cooling,epochs,steps,cost
5046.92,0.94726,150,2.95788,169370
3507.86,0.862812,692,4.07804,106865
2083.39,0.865541,142,0.423983,348975
2568.47,0.929192,668,1.11233,126041
107.564,0.875415,990,8.37265,107501
5242.91,0.927064,708,7.8719,107221
3435.18,0.986167,353,7.84626,132687
9263.73,0.982469,116,3.03682,1.22306e+06
8993.5,0.910322,370,2.59816,122363
9203.55,0.976025,774,1.94717,114702
8371.47,0.939057,281,2.42009,136586
6128.81,0.945684,159,8.80719,123478
3615.89,0.945871,325,5.41816,112459
689.599,0.927214,294,6.37148,109013
9733.78,0.860617,303,3.59113,119275
9666.33,0.936682,308,8.46768,108943
423.985,0.946631,539,6.60118,106266
7726.35,0.914657,242,1.00898,192192
7032.22,0.851548,960,3.04125,108664
3274.73,0.973172,453,8.84649,107441
8443.7,0.929513,804,5.97301,107080
6562.31,0.967684,784,2.10656,113042
2099.22,0.902517,708,5.44346,107598
3829.15,0.961274,575,0.693604,155253
4760.3,0.910499,247,0.727688,209238
6664.21,0.949633,226,0.999582,208750
3207.4,0.959102,736,2.03934,113984
726.367,0.98862,810,2.12879,111886
5523.77,0.938666,745,6.66818,106227
8527.52,0.990847,351,6.60382,459837
6342,0.925645,393,3.31013,116439
7788.92,0.9475,758,8.53583,106777
2426.78,0.983291,925,2.76632,108604
8085.48,0.85556,633,1.78676,117043
7503.86,0.917205,837,2.24853,109560
9607.69,0.987716,138,2.37843,1.47179e+06
9022.27,0.874721,431,7.99197,107858
2698.4,0.912414,838,3.82057,107562
2640.17,0.866546,666,6.45871,106916
1347.62,0.973854,891,0.194398,215557
2535.7,0.992837,366,0.30075,460143
488.841,0.875229,349,8.54162,108781
1288.29,0.964986,125,7.13415,144289
559.475,0.975793,74,4.24057,245931
7284.54,0.912488,45,1.49596,520091
5831.7,0.904957,216,8.85342,110757
425.612,0.875301,982,5.96308,107718
2375.23,0.855196,93,2.14489,208707
6688.32,0.860587,635,7.75832,107072
3779,0.904848,447,6.47608,107687
2490.96,0.922744,397,1.99671,125404
7292.88,0.953069,849,5.49705,107165
2193.65,0.890851,734,5.72777,107140
2343.82,0.98075,29,1.22604,1.29941e+06
6893.38,0.962271,760,8.66266,109696
6353.86,0.99164,577,9.96553,144933
645.36,0.852722,507,8.00088,107570
7925.26,0.865372,109,1.53164,230561
2490.31,0.969849,828,5.28948,106130
5540.76,0.862947,64,2.71001,239226
7179.87,0.987506,92,8.86685,1.59448e+06
4052.24,0.935885,969,0.795741,127367
493.944,0.948352,288,1.58465,147909
7920.78,0.866655,708,3.06275,109388
3413.4,0.953262,890,7.97124,107661
2118.05,0.893172,541,4.287,109226
2159.17,0.933053,355,1.99221,130358
6068.46,0.871619,79,0.778319,369257
2976.91,0.879022,205,9.73984,110550
8101.3,0.852288,806,4.04697,107024
7977.59,0.852723,117,6.64409,131866
8974.92,0.892534,326,6.50223,110097
7142.7,0.991392,25,9.57031,1.98803e+06
3042.57,0.976951,536,8.83959,105867
460.679,0.951746,119,5.09297,138554
9973.78,0.853658,295,5.48727,112245
590.442,0.921574,958,5.39629,107735
8824.8,0.986233,109,3.86889,1.54664e+06
166.786,0.970151,262,6.88409,110979
3902.35,0.95632,135,5.67578,154983
4424.33,0.971155,514,4.86787,108664
7610.16,0.879359,175,1.01793,216788
2752.49,0.867525,986,2.58493,109302
7672.28,0.914028,387,4.64614,110600
6250.54,0.851333,400,8.86494,108142
4084.87,0.90604,918,7.70749,108505
6816.03,0.864156,759,8.38575,107080
7792.83,0.908208,464,8.92905,107294
1649.09,0.985377,975,1.94979,111614
2448.91,0.863645,460,9.22685,106983
4059.71,0.976015,475,8.64151,107682
7244.13,0.929725,143,9.17086,121384
8278.33,0.903486,397,2.77989,119284
8922.75,0.943142,645,1.59157,121141
5034.05,0.903578,672,8.12562,108012
5813.99,0.943521,854,8.17541,107015
8378.44,0.94885,31,1.88535,1.48174e+06
4416.78,0.850945,384,3.44017,114736
592.763,0.850274,427,7.966,107777
3807.87,0.920595,75,2.95721,232072
2165.36,0.956537,936,3.51201,107857
5631.53,0.991428,920,4.49793,107681
7028.51,0.934023,329,2.11068,132834
3661.74,0.853466,681,8.49565,107382
632.904,0.928344,24,2.06041,435717
9012.48,0.888868,221,5.931,118071
9477.06,0.871504,123,7.45353,127483
778.924,0.983445,191,8.8184,139916
7120.88,0.98451,229,5.98843,320965
6313.64,0.907539,679,8.56581,107135
7131.45,0.871914,840,0.632355,140618
5018.6,0.877438,567,4.70971,108775
5881.16,0.904435,367,8.47676,107440
4368.56,0.987601,996,4.50175,106612
7172.6,0.861683,973,0.527154,140477
6114.62,0.870244,607,0.194069,254207
3958.64,0.992318,871,6.3334,107694
1267.79,0.970531,170,3.48347,156067
5687.35,0.861393,177,9.96202,112957
9287.13,0.924564,531,9.95935,107697
1700.58,0.959571,205,8.51929,114691
8667.57,0.986163,935,6.7493,106301
7177.31,0.978904,24,6.88159,1.91158e+06
6969.93,0.923422,943,2.71994,107653
6642.76,0.914267,801,5.18839,108249
8147.68,0.908351,272,9.72258,107734
5161.05,0.855075,817,6.54462,106848
2148.26,0.949716,815,6.59512,107085
4808.49,0.97663,746,0.954393,132227
2136.63,0.850574,24,0.136871,1.30927e+06
3379.06,0.965511,143,4.81819,175529
4889.9,0.897609,774,1.25981,119304
2093.67,0.884916,680,6.58108,109048
5477.25,0.917365,500,3.07136,111576
4549.97,0.888189,269,0.937323,186189
1943.05,0.974629,186,1.27555,227422
9913.88,0.985611,867,1.14234,130830
4882.63,0.924306,535,4.56899,109503
4163.35,0.8961,336,4.76566,111314
7655.64,0.969558,502,7.76492,107183
8691.25,0.890386,692,6.49444,105555
7512.79,0.945294,607,2.43461,113279
4511.35,0.850571,220,4.85391,119394
9651.45,0.897313,177,9.31295,113250
1748.89,0.888488,36,3.60223,295622
2107.72,0.862755,898,8.05412,106619
7225.77,0.958784,408,6.83608,108631
2363.42,0.981255,179,1.42738,284778
7638.47,0.887586,841,8.50658,108651
9058.68,0.957739,252,2.21761,154192
969.902,0.980165,421,6.09365,108247
5002.43,0.961736,370,6.51107,108386
995.572,0.873322,297,0.568214,210747
177.443,0.978596,756,3.48614,108036
8088.25,0.899876,367,5.94193,108321
8579.3,0.878771,254,3.56526,124890
3068.38,0.857217,655,3.97832,107669
8918.66,0.866368,21,1.44305,933123
4726.06,0.911863,467,3.02831,113648
1199.43,0.910434,127,0.896139,259555
6602.96,0.901179,935,5.75767,108938
6022.09,0.972534,764,4.91216,107941
2165.72,0.961756,821,1.42044,118161
206.424,0.964353,559,0.376541,193424
1029.98,0.952582,829,6.83872,108091
5386.69,0.929304,282,4.17164,118554
993.959,0.878578,875,6.76358,107816
8777.9,0.980456,107,3.15186,1.12618e+06
1260.23,0.870679,242,7.51371,111015
7479.64,0.853994,654,6.55632,108297
4115.4,0.966921,361,6.71102,110140
8618.09,0.915801,368,9.42364,108919
9225.42,0.89915,419,7.26312,108033
2723.33,0.856622,195,0.983782,206453
6752.41,0.857431,379,1.83977,130762
6764.29,0.86885,859,6.04782,108144
6600.83,0.903237,974,7.61208,109264
1588.86,0.955806,227,8.86736,112075
7481.03,0.87375,59,7.19962,180971
4812.75,0.870938,84,9.49458,131229
248.326,0.993258,999,2.41698,107487
7760.09,0.987853,402,1.87418,214559
3955.7,0.98642,491,2.00723,139854
3023.25,0.922937,150,3.5187,146435
2650.16,0.873772,704,3.3143,107942
3767.17,0.909603,248,9.25167,108511
1055.85,0.929273,584,9.72953,106931
6887.84,0.963522,111,2.94934,313633
5379.82,0.917771,266,5.80629,114771
7039.87,0.914432,269,6.47041,111795
7308.27,0.947676,800,7.83798,107808
