tabuLength,iter,neighbourhood,cost
1705,3142,0.0932215,94520.7
1397,3324,0.58669,45714.3
852,3225,0.0965783,91988.3
4914,468,0.0437597,104720
1959,3756,0.485197,47881
1429,3999,0.367231,57231.7
1445,3285,0.467662,55037.3
1241,2781,0.150846,87133.7
325,3107,0.194036,79970.3
1426,667,0.114475,91452.7
1512,76,0.397519,62697.7
232,167,0.0811853,103941
497,347,0.707263,51862
1831,3167,0.729757,39091
4114,456,0.889445,37642.7
4233,2736,0.653162,42065.3
3534,4834,0.816797,38721.3
1860,4472,0.583856,45857.3
4263,896,0.332407,46012
2134,3488,0.695625,44028
445,4510,0.358094,59762
3758,1110,0.343267,58942.3
3070,2245,0.524064,57418.7
2891,2611,0.992082,36721.3
4083,3150,0.419841,59498.3
1241,1880,0.589794,44382
1799,2065,0.401935,53717.3
4159,1522,0.432092,62489.3
295,4453,0.749423,42306.3
1933,4671,0.644184,43366.3
3673,1750,0.247433,60873.3
882,3412,0.507023,54557.3
3198,3934,0.189846,83052.3
1940,402,0.25914,72900.7
1836,4794,0.523345,56485.3
4051,3738,0.797774,47446.7
2298,1339,0.901714,41054.7
147,1066,0.908738,40051.7
1317,4153,0.868069,37496
944,4460,0.474419,50700.7
4526,4971,0.191032,78114
4882,3495,0.0783673,107747
1882,368,0.945885,39494.3
240,1599,0.390995,57111.3
770,448,0.58047,57263.7
3855,4071,0.456124,54776
1659,1683,0.142785,90665.7
3394,2270,0.0572218,89023.3
872,1846,0.660734,40232.3
1241,3692,0.851041,39257.3
1373,305,0.00196929,102575
3060,2867,0.2572,69757
169,4106,0.958228,40011
3871,474,0.95583,41850
4892,4535,0.612367,40711.3
615,4441,0.850613,37451.7
3087,1728,0.865508,43036.7
4211,2855,0.566649,55435
4274,1804,0.630133,49073
4085,199,0.65804,64830.3
3423,3416,0.506558,50252.7
3561,573,0.0675658,101569
2411,4724,0.173835,89816.3
1750,2440,0.950122,38817
4219,2454,0.249568,67824.7
2707,4503,0.631306,52355.7
1783,371,0.119979,94050.3
1383,2508,0.00851816,108577
1389,4745,0.521902,53382.3
670,3543,0.312379,63712
2399,417,0.751464,39964
593,2109,0.486142,54659.3
1084,391,0.271397,73001
340,4462,0.888304,44883.7
4909,2188,0.53318,50861
1633,3638,0.0522095,100395
4378,2156,0.752663,41815.3
1140,4708,0.153616,94393.3
4361,1394,0.546061,51098.3
1863,2369,0.98043,37717.7
346,1351,0.676419,51323
1317,4320,0.586221,42656.7
4834,305,0.715243,45877.3
1059,4705,0.235128,70411
571,1676,0.242413,71442.3
1289,3698,0.619914,44365
4239,4012,0.424533,55226
4282,460,0.364917,53099
4347,4008,0.693414,41512.3
3985,3495,0.44693,51714.3
2832,1931,0.65712,44022.3
3046,3077,0.195239,77838.3
1068,2975,0.865306,42228.3
1197,4844,0.437373,47486
1815,261,0.583699,48766
2963,3566,0.684266,56336
1713,573,0.17692,81043
1532,1319,0.672478,51053
2921,1831,0.997975,46107.7
4827,772,0.775784,46003.3
2386,1117,0.784652,43211.3
190,2832,0.822038,47103
4103,2439,0.743551,46080
1014,818,0.712814,40859.3
2146,1795,0.0375863,100099
870,968,0.627403,41426
2619,618,0.999079,38202.3
1347,3058,0.200226,86205.7
272,2228,0.347925,61973
1593,4357,0.0478165,98096
413,2060,0.762931,37079
703,328,0.101445,99199.3
4885,4952,0.313431,59507
1588,2526,0.0846272,94649.7
4986,2198,0.469903,55183.7
584,4908,0.0370457,110427
1316,1720,0.39236,53047
3517,919,0.995386,40510.7
1666,3561,0.439214,52658.7
1717,3892,0.443825,51357
1819,4092,0.986665,37254.3
3339,2274,0.125699,91902
381,1770,0.609788,48229
1970,83,0.627198,50695
1141,3705,0.524376,63569
195,2440,0.980485,38842
476,2432,0.398519,54868.3
1363,2545,0.407785,49724
1997,1112,0.661537,39385
4696,1752,0.95174,54274.3
1946,300,0.377242,51838.3
4329,2819,0.848299,52702.7
1038,2646,0.501448,61298.3
4727,534,0.113736,80138.7
4781,4758,0.198005,76667.3
